Products,Revenue,Revenue_%,Cumulative_%,ABC_Class
Product 001,10511422.55,9.387800021156792,9.387800021156792,A
Product 002,7936944.9,7.088522143003403,16.476322164160194,A
Product 003,7936944.9,7.088522143003403,23.564844307163597,A
Product 004,5914210.55,5.282008754030701,28.8468530611943,A
Product 005,5374559.8,4.800044177098412,33.64689723829271,A
Product 006,2940236.43,2.625938733645521,36.27283597193823,A
Product 007,2879657.8,2.571835679440393,38.84467165137862,A
Product 008,2673058.28,2.3873206940517613,41.23199234543038,A
Product 009,2620015.83,2.339948237006715,43.571940582437094,A
Product 010,2584745.12,2.3084478030255684,45.88038838546266,A
Product 011,2405121.31,2.1480249488117718,48.02841333427443,A
Product 012,2253925.8,2.012991540609871,50.04140487488431,A
Product 013,1782294.72,1.5917756450694334,51.63318051995374,A
Product 014,1653795.5,1.4770123982780052,53.110192918231746,A
Product 015,1606021.0,1.4343447717053532,54.5445376899371,A
Product 016,1590495.74,1.420479090303699,55.9650167802408,A
Product 017,1489845.15,1.3305875835702508,57.29560436381105,A
Product 018,1469597.45,1.3125042691963673,58.60810863300742,A
Product 019,1360438.77,1.2150141479935577,59.823122781000976,A
Product 020,1353398.3399999999,1.2087263074478503,61.03184908844882,A
Product 021,1312025.58,1.171776104432435,62.203625192881255,A
Product 022,1245877.0,1.112698502160277,63.31632369504153,A
Product 023,1201302.08,1.0728884352612862,64.38921213030282,A
Product 024,1130048.0,1.009251087361928,65.39846321766476,A
Product 025,1082817.3,0.9670691310805444,66.3655323487453,A
Product 026,971645.1,0.8677807258672988,67.23331307461261,A
Product 027,852670.0,0.7615235146302592,67.99483658924287,A
Product 028,800950.0,0.7153321437872872,68.71016873303016,A
Product 029,785426.48,0.7014680163876681,69.41163674941782,A
Product 030,753699.0,0.6731320574821581,70.08476880689999,B
Product 031,737695.6799999999,0.6588394184868225,70.74360822538681,B
Product 032,732950.0,0.6546010297632713,71.39820925515008,B
Product 033,725030.0,0.6475276411887094,72.04573689633878,B
Product 034,691173.22,0.6172899946200915,72.66302689095888,B
Product 035,680959.8,0.6081683420525156,73.2711952330114,B
Product 036,666378.66,0.5951458585828076,73.86634109159421,B
Product 037,599901.92,0.5357751750992067,74.40211626669341,B
Product 038,589100.0,0.5261279304639376,74.92824419715735,B
Product 039,570900.0,0.5098734264163334,75.43811762357369,B
Product 040,557344.77,0.4977671879052781,75.93588481147897,B
Product 041,528676.72,0.4721636200612164,76.40804843154018,B
Product 042,520600.0,0.46495026413092166,76.8729986956711,B
Product 043,490231.22,0.4378277664698884,77.310826462141,B
Product 044,465322.75,0.4155818968855682,77.72640835902656,B
Product 045,456639.75,0.4078270694874722,78.13423542851403,B
Product 046,439903.03,0.39287942756529537,78.52711485607932,B
Product 047,430667.72,0.38463132955563156,78.91174618563495,B
Product 048,426750.0,0.3811323957315997,79.29287858136655,B
Product 049,424700.0,0.37930153126469923,79.67218011263125,B
Product 050,421858.77,0.37676401563089845,80.04894412826215,B
Product 051,416460.0,0.3719423492123773,80.42088647747453,B
Product 052,411000.0,0.367065997998096,80.78795247547262,B
Product 053,408897.05,0.36518784364167245,81.1531403191143,B
Product 054,399000.0,0.3563487425820932,81.5094890616964,B
Product 055,398944.0,0.35629872872348517,81.86578779041989,B
Product 056,391620.0,0.34975763050125147,82.21554542092113,B
Product 057,374322.0,0.3343087068190835,82.54985412774022,B
Product 058,367990.0,0.32865356837790594,82.87850769611812,B
Product 059,367320.0,0.32805518828384583,83.20656288440196,B
Product 060,353217.51,0.3154601893395437,83.52202307374151,B
Product 061,350554.0,0.3130813962584539,83.83510446999996,B
Product 062,334790.0,0.2990024950602982,84.13410696506025,B
Product 063,329299.6,0.2940989934656297,84.42820595852588,B
Product 064,328800.0,0.2936527983984768,84.72185875692436,B
Product 065,328800.0,0.2936527983984768,85.01551155532285,B
Product 066,318154.26,0.284145038842447,85.2996565941653,B
Product 067,313260.0,0.2797739526347532,85.57943054680005,B
Product 068,289985.0,0.25898694265079775,85.83841748945085,B
Product 069,288839.83999999997,0.25796419496644857,86.0963816844173,B
Product 070,274000.0,0.24471066533206404,86.34109234974936,B
Product 071,263068.54,0.23494772792457913,86.57604007767394,B
Product 072,261031.97999999998,0.2331288667837446,86.80916894445768,B
Product 073,260276.0,0.2324536975546288,87.04162264201231,B
Product 074,254977.55,0.22772162739138546,87.2693442694037,B
Product 075,253450.0,0.22635736543215923,87.49570163483587,B
Product 076,243968.45,0.21788934934135912,87.71359098417723,B
Product 077,243486.75,0.21745914084686838,87.9310501250241,B
Product 078,236325.0,0.21106294884890522,88.142113073873,B
Product 079,234955.0,0.2098393955222449,88.35195246939526,B
Product 080,234023.4,0.20900737926011587,88.56095984865537,B
Product 081,224914.27,0.2008719731911514,88.76183182184653,B
Product 082,221940.0,0.19821563891897184,88.9600474607655,B
Product 083,217915.96,0.1946217502119542,89.15466921097745,B
Product 084,217008.0,0.1938108469429947,89.34848005792044,B
