Customer,Revenue,Revenue_%,Cumulative_%
Customer A,19648063.98,17.547776675302053,17.547776675302053
Customer B,15919154.6,14.217470487919663,31.765247163221716
Customer C,13513350.98,12.068836164895982,43.8340833281177
Customer D,12867516.85,11.49203872093082,55.32612204904852
Customer E,11289804.29,10.082976347717848,65.40909839676637
Customer F,4245777.71,3.7919236798034563,69.20102207656983
Customer G,3703125.0,3.3072780385321154,72.50830011510195
Customer H,3568472.48,3.187019251094746,75.69531936619668
Customer I,2937197.8,2.6232249191601267,78.31854428535681
Customer J,2567900.6,2.2934038844255706,80.61194816978238
Customer K,2382196.64,2.1275508201686404,82.73949898995102
Customer L,1938997.76,1.7317278537481087,84.47122684369913
Customer M,1907760.34,1.703829569691696,86.17505641339082
Customer N,1643903.05,1.468177405499669,87.6432338188905
Customer O,1518461.88,1.3561453172853166,88.9993791361758
Customer P,1366792.56,1.2206887471843615,90.22006788336017
Customer Q,1317996.79,1.1771090196584841,91.39717690301866
Customer R,1193544.0,1.0659596581864708,92.46313656120513
Customer S,864333.0,0.7719397937899959,93.23507635499513
Customer T,837992.01,0.7484145339782979,93.98349088897342
Customer U,732950.0,0.6546010297632713,94.63809191873669
Customer V,665410.0,0.5942807438635355,95.23237266260023
Customer W,608870.25,0.5437848320379568,95.77615749463818
Customer X,590415.2,0.5273025416575314,96.30346003629572
Customer Y,589718.25,0.5266800923940163,96.83014012868973
Customer Z,441820.0,0.39459148232486324,97.2247316110146
Customer 27,389072.0,0.3474819999345869,97.57221361094919
Customer 28,253450.0,0.22635736543215923,97.79857097638136
Customer 29,238757.1,0.21323506859034358,98.0118060449717
Customer 30,234955.0,0.2098393955222449,98.22164544049396
Customer 31,223652.5,0.19974508057729726,98.42139052107126
Customer 32,221940.0,0.19821563891897184,98.61960615999023
Customer 33,211585.2,0.18896771922050304,98.80857387921073
Customer 34,193494.33000000002,0.17281067967986116,98.98138455889058
Customer 35,164400.0,0.1468263991992384,99.12821095808982
Customer 36,160413.3,0.14326585901865688,99.27147681710848
Customer 37,126840.08,0.11328146119551907,99.38475827830399
Customer 38,125012.5,0.1116492410577542,99.49640751936174
Customer 39,102955.0,0.09194958594621405,99.58835710530795
Customer 40,72965.0,0.06516537845238704,99.65352248376034
Customer 41,65855.9,0.05881620841256158,99.7123386921729
Customer 42,57677.0,0.051511595052399474,99.76385028722531
Customer 43,57540.0,0.05138923971973344,99.81523952694505
Customer 44,43254.19,0.03863051683685952,99.85387004378191
Customer 45,42384.0,0.0378533461293219,99.89172338991123
Customer 46,38908.0,0.03474891447715309,99.92647230438838
Customer 47,21900.0,0.019558991134205117,99.94603129552259
Customer 48,19180.0,0.01712974657324448,99.96316104209583
Customer 49,15410.0,0.0137627421633836,99.97692378425921
Customer 50,13234.2,0.011819525135538692,99.98874330939475
Customer 51,9864.0,0.008809583951954305,99.99755289334671
Customer 52,2740.0,0.00244710665332064,100.00000000000003
